Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-05-18,ETHUSD,207.03,217.1,207.01,214.36,28223.37,6045006.23
2020-05-17,ETHUSD,200.43,210,199.53,207.03,45535.22,9393790.17
2020-05-16,ETHUSD,194.57,203.39,193.08,200.43,25545.21,5101015.57
2020-05-15,ETHUSD,203.11,204.22,191.49,194.57,53363.89,10580544.53
2020-05-14,ETHUSD,199.8,206.32,195.75,203.11,69141.85,13952608.24
2020-05-13,ETHUSD,189.79,201.16,188.34,199.8,56116.3,10965225.45
2020-05-12,ETHUSD,186.18,192.59,185.9,189.79,48201.72,9156248.92
2020-05-11,ETHUSD,188.06,193.88,175.51,186.18,81205.55,15042394.57
2020-05-10,ETHUSD,210.21,210.21,180,188.06,122466.84,23270278.31
2020-05-09,ETHUSD,211.59,214.72,208.49,210.21,35735.39,7564728.07
2020-05-08,ETHUSD,212.56,216.85,207.22,211.59,44016.99,9330200.64
2020-05-07,ETHUSD,199.13,215.55,196.72,212.56,103978.29,21760085.88
2020-05-06,ETHUSD,205.62,212,198.16,199.13,57045.27,11780619.35
2020-05-05,ETHUSD,207.01,212.13,200.66,205.62,30469.49,6260916.9
2020-05-04,ETHUSD,210.2,210.75,195.01,207.01,54083.23,10990885.73
2020-05-03,ETHUSD,214.07,219.18,205.03,210.2,42008.79,8911405.56
2020-05-02,ETHUSD,212.02,215.49,210.38,214.07,17518.7,3733426.65
2020-05-01,ETHUSD,206.2,217.58,206.2,212.02,44824.0,9499428.05
2020-04-30,ETHUSD,215.67,227.73,201.66,206.2,103718.94,22316179.2
2020-04-29,ETHUSD,196.73,219.5,196.73,215.67,130958.7,27368626.27
2020-04-28,ETHUSD,196.9,198,192.48,196.73,31959.58,6262485.48
2020-04-27,ETHUSD,197.96,199.56,189.2,196.9,44891.71,8763093.18
2020-04-26,ETHUSD,194,200,192.51,197.96,51840.35,10177347.25
2020-04-25,ETHUSD,187.56,198.3,186,194,38526.02,7474466.31
2020-04-24,ETHUSD,185.67,190,184.76,187.56,41405.32,7776473.18
2020-04-23,ETHUSD,183.25,194.51,178.26,185.67,98909.08,18572414.17
2020-04-22,ETHUSD,171.07,184.3,170.01,183.25,45482.27,8151495.44
2020-04-21,ETHUSD,170.64,174.96,168.35,171.07,28178.3,4838130.8
2020-04-20,ETHUSD,180.2,186.63,166.8,170.64,94313.38,16505197.0
2020-04-19,ETHUSD,188.03,188.58,176.45,180.2,31718.64,5781095.04
2020-04-18,ETHUSD,171,189.73,170.71,188.03,54336.81,9864266.25
2020-04-17,ETHUSD,172.37,175.12,168.12,171,27438.69,4683976.17
2020-04-16,ETHUSD,152.96,175.17,148.19,172.37,93356.14,15484813.32
2020-04-15,ETHUSD,158.61,161.5,151.9,152.96,33567.88,5256249.74
2020-04-14,ETHUSD,157.03,162.26,155.32,158.61,26312.73,4180278.44
2020-04-13,ETHUSD,158.39,159.65,148.82,157.03,52489.39,8065898.02
2020-04-12,ETHUSD,158.65,165.48,155.24,158.39,35342.11,5712280.24
2020-04-11,ETHUSD,157.97,161.62,154.06,158.65,26233.73,4140298.41
2020-04-10,ETHUSD,170.07,170.35,152.18,157.97,69435.02,11040832.14
2020-04-09,ETHUSD,173.23,173.7,165.28,170.07,46460.11,7918450.91
2020-04-08,ETHUSD,164.55,174.75,163.67,173.23,52450.69,8929016.27
2020-04-07,ETHUSD,171.65,176.65,162.18,164.55,100869.8,17203122.91
2020-04-06,ETHUSD,143.03,172.26,142.79,171.65,103826.56,16428319.39
2020-04-05,ETHUSD,144.59,145.93,140.78,143.03,13210.43,1893857.83
2020-04-04,ETHUSD,141.4,146.72,139.04,144.59,19772.82,2830481.79
2020-04-03,ETHUSD,141.71,147.24,137.89,141.4,46495.4,6670801.35
2020-04-02,ETHUSD,135.98,150,135.42,141.71,59641.5,8419567.15
2020-04-01,ETHUSD,133.14,137.2,128.91,135.98,32940.7,4358794.36
2020-03-31,ETHUSD,132.36,135.79,130.5,133.14,23130.9,3078382.97
2020-03-30,ETHUSD,124.59,135.56,124.01,132.36,34805.26,4578555.68
2020-03-29,ETHUSD,131.35,132,123.27,124.59,44183.66,5576314.9
2020-03-28,ETHUSD,131.43,133.47,125.02,131.35,48311.99,6223879.9
2020-03-27,ETHUSD,138.97,142.45,128.94,131.43,50317.2,6866928.02
2020-03-26,ETHUSD,136.42,140.21,133.47,138.97,47945.34,6505414.32
2020-03-25,ETHUSD,139.12,142.86,132.05,136.42,63452.36,8708136.63
2020-03-24,ETHUSD,136.54,144.06,132.99,139.12,103407.74,14336324.51
2020-03-23,ETHUSD,122.47,138.19,119.04,136.54,71195.64,9214592.03
2020-03-22,ETHUSD,132.65,137.26,120.49,122.47,53577.57,6824379.18
2020-03-21,ETHUSD,133.5,137.61,126,132.65,71549.57,9379944.92
2020-03-20,ETHUSD,136.75,153.48,115.5,133.5,153435.27,21365892.47
2020-03-19,ETHUSD,118.63,144.87,115.78,136.75,127650.15,16536609.27
2020-03-18,ETHUSD,115.91,118.73,110.11,118.63,87672.93,10075324.5
2020-03-17,ETHUSD,111.04,121.33,109.68,115.91,69740.64,8200553.59
2020-03-16,ETHUSD,123.55,123.81,100.66,111.04,167022.61,18353638.27
2020-03-15,ETHUSD,122.43,133.78,120,123.55,128402.08,16024645.5
2020-03-14,ETHUSD,135.45,135.6,120.82,122.43,80715.62,10387074.01
2020-03-13,ETHUSD,109.42,148.33,88.2,135.45,397258.14,47071632.34
2020-03-12,ETHUSD,194.57,195.57,102.66,109.42,343137.4,49344660.7
2020-03-11,ETHUSD,200.39,203.13,181.72,194.57,81751.97,15782918.45
2020-03-10,ETHUSD,202.93,206.39,195.56,200.39,62621.31,12606869.63
2020-03-09,ETHUSD,199.38,208.62,189.64,202.93,111388.83,22244719.92
2020-03-08,ETHUSD,237.54,237.54,195.91,199.38,65388.05,14245382.99
2020-03-07,ETHUSD,245.52,252.82,235.64,237.54,27900.13,6793314.94
2020-03-06,ETHUSD,228.81,245.93,227.69,245.52,52598.14,12475286.98
2020-03-05,ETHUSD,224.49,234.43,224.49,228.81,60978.32,14027771.51
2020-03-04,ETHUSD,223.46,228.89,220.33,224.52,20732.33,4654528.74
2020-03-03,ETHUSD,231.97,233.03,219.9,223.46,48628.61,11024041.95
2020-03-02,ETHUSD,217.34,234.65,215.81,231.97,42712.83,9661315.07
2020-03-01,ETHUSD,217.63,227.76,211.89,217.34,32911.96,7199096.72
2020-02-29,ETHUSD,227.26,233.32,217.13,217.63,17738.51,4003142.8
2020-02-28,ETHUSD,227.23,234.84,213.36,227.26,38953.17,8749134.67
2020-02-27,ETHUSD,223.76,239,209.37,227.23,62606.47,14144962.09
2020-02-26,ETHUSD,246.58,249.91,215.13,223.76,96974.78,22382446.72
2020-02-25,ETHUSD,266.04,266.04,243.91,246.58,44103.22,11145338.92
2020-02-24,ETHUSD,275.66,278.22,256.55,266.04,26262.95,6993142.59
2020-02-23,ETHUSD,262.13,276.52,261.91,275.66,21398.18,5795710.24
2020-02-22,ETHUSD,265.71,267.43,255.16,262.13,15758.12,4112395.48
2020-02-21,ETHUSD,257.42,269,254.36,265.71,37646.27,9909328.85
2020-02-20,ETHUSD,258.57,263.81,245,257.42,43814.37,11146940.94
2020-02-19,ETHUSD,281.87,287,251.03,258.57,47682.26,13047404.99
2020-02-18,ETHUSD,268.3,286.77,258.72,281.87,55006.07,15149826.77
2020-02-17,ETHUSD,258.89,269.12,242.31,268.3,45087.21,11341613.74
2020-02-16,ETHUSD,264.67,273.98,236.32,258.89,40568.17,10467469.0
2020-02-15,ETHUSD,285.96,289.04,261.2,264.67,46519.02,12796909.11
2020-02-14,ETHUSD,268.94,287.81,259.67,285.96,49082.02,13468428.34
2020-02-13,ETHUSD,266.42,278.31,255.24,268.94,73512.33,19476994.49
2020-02-12,ETHUSD,237.95,275.85,237.95,266.42,70390.13,18194885.69
2020-02-11,ETHUSD,222.74,239.69,217.82,237.95,43291.61,9968465.68
2020-02-10,ETHUSD,228.42,229.84,213.37,222.74,31986.46,7097092.81
2020-02-09,ETHUSD,223.2,230.98,223.2,228.42,37340.04,8506469.24
2020-02-08,ETHUSD,223.43,228.03,213.56,223.2,22896.14,5117143.29
2020-02-07,ETHUSD,213.09,224.44,212.88,223.43,44944.27,9881553.37
2020-02-06,ETHUSD,203.54,216.39,200.47,213.09,38877.49,8140753.57
2020-02-05,ETHUSD,188.15,207.91,187.5,203.54,37437.3,7455949.87
2020-02-04,ETHUSD,189.66,191.47,181.93,188.15,24514.89,4575215.94
2020-02-03,ETHUSD,188.16,195,186.45,189.66,21746.65,4126088.04
2020-02-02,ETHUSD,183.51,193.13,179,188.16,24383.95,4599315.27
2020-02-01,ETHUSD,179.84,184.32,179,183.51,10707.06,1954138.85
2020-01-31,ETHUSD,184.3,185.15,174.77,179.84,31905.55,5727865.77
2020-01-30,ETHUSD,173.45,186.4,170.56,184.3,28016.34,5007035.44
2020-01-29,ETHUSD,175.8,178.3,173.2,173.45,12447.7,2196334.7
2020-01-28,ETHUSD,169.73,176.26,169.73,175.8,28602.3,4924607.21
2020-01-27,ETHUSD,167.65,171.84,164.77,169.73,19627.23,3315516.09
2020-01-26,ETHUSD,160.54,167.71,159.13,167.65,7709.41,1263978.88
